ParkName,Month,OvernightType,Number
Rocky Mountain,Jul,Backcountry Campers,11939
Rocky Mountain,Aug,Misc Overnight Stay,0
Rocky Mountain,Aug,Concessioner Lodging,0
Rocky Mountain,Aug,Concessioner Camping,0
Rocky Mountain,Aug,Tent Campers,12447
Rocky Mountain,Aug,RV Campers,5784
Rocky Mountain,Aug,Backcountry Campers,10226
Rocky Mountain,Sep,Misc Overnight Stay,0
Rocky Mountain,Sep,Concessioner Lodging,0
Rocky Mountain,Sep,Concessioner Camping,0
Rocky Mountain,Sep,Tent Campers,8730
Rocky Mountain,Sep,RV Campers,5445
Rocky Mountain,Sep,Backcountry Campers,6184
Rocky Mountain,Oct,Misc Overnight Stay,0
Rocky Mountain,Oct,Concessioner Lodging,0
Rocky Mountain,Oct,Concessioner Camping,0
Rocky Mountain,Oct,Tent Campers,3627
Rocky Mountain,Oct,RV Campers,2805
Rocky Mountain,Oct,Backcountry Campers,1760
Rocky Mountain,Nov,Misc Overnight Stay,0
Rocky Mountain,Nov,Concessioner Lodging,0
Rocky Mountain,Nov,Concessioner Camping,0
Rocky Mountain,Nov,Tent Campers,708
Rocky Mountain,Nov,RV Campers,948
Rocky Mountain,Nov,Backcountry Campers,103
Rocky Mountain,Dec,Misc Overnight Stay,0
Rocky Mountain,Dec,Concessioner Lodging,0
Rocky Mountain,Dec,Concessioner Camping,0
Rocky Mountain,Dec,Tent Campers,201
Rocky Mountain,Dec,RV Campers,354
Rocky Mountain,Dec,Backcountry Campers,50
Acadia,Jan,Misc Overnight Stay,0
Acadia,Jan,Concessioner Lodging,0
Acadia,Jan,Concessioner Camping,0
Acadia,Jan,Tent Campers,0
Acadia,Jan,RV Campers,0
Acadia,Jan,Backcountry Campers,0
Acadia,Feb,Misc Overnight Stay,0
Acadia,Feb,Concessioner Lodging,0
Acadia,Feb,Concessioner Camping,0
Acadia,Feb,Tent Campers,0
Acadia,Feb,RV Campers,0
Acadia,Feb,Backcountry Campers,0
Acadia,Mar,Misc Overnight Stay,0
Acadia,Mar,Concessioner Lodging,0
Acadia,Mar,Concessioner Camping,0
Acadia,Mar,Tent Campers,0
Acadia,Mar,RV Campers,0
Acadia,Mar,Backcountry Campers,0
Acadia,Apr,Misc Overnight Stay,0
Acadia,Apr,Concessioner Lodging,0
Acadia,Apr,Concessioner Camping,0
Acadia,Apr,Tent Campers,0
Acadia,Apr,RV Campers,0
Acadia,Apr,Backcountry Campers,0
Acadia,May,Misc Overnight Stay,0
Acadia,May,Concessioner Lodging,0
Acadia,May,Concessioner Camping,19
Acadia,May,Tent Campers,7992
Acadia,May,RV Campers,2460
Acadia,May,Backcountry Campers,0
Acadia,Jun,Misc Overnight Stay,0
Acadia,Jun,Concessioner Lodging,0
Acadia,Jun,Concessioner Camping,294
Acadia,Jun,Tent Campers,16794
Acadia,Jun,RV Campers,7186
Acadia,Jun,Backcountry Campers,161
Acadia,Jul,Misc Overnight Stay,0
Acadia,Jul,Concessioner Lodging,0
Acadia,Jul,Concessioner Camping,205
Acadia,Jul,Tent Campers,27930
Acadia,Jul,RV Campers,9880
Acadia,Jul,Backcountry Campers,390
Acadia,Aug,Misc Overnight Stay,0
Acadia,Aug,Concessioner Lodging,0
Acadia,Aug,Concessioner Camping,419
Acadia,Aug,Tent Campers,28405
Acadia,Aug,RV Campers,8986
Acadia,Aug,Backcountry Campers,534
Acadia,Sep,Misc Overnight Stay,0
Acadia,Sep,Concessioner Lodging,0
Acadia,Sep,Concessioner Camping,446
Acadia,Sep,Tent Campers,19035
Acadia,Sep,RV Campers,8854
Acadia,Sep,Backcountry Campers,386
Acadia,Oct,Misc Overnight Stay,0
Acadia,Oct,Concessioner Lodging,0
Acadia,Oct,Concessioner Camping,224
Acadia,Oct,Tent Campers,7602
Acadia,Oct,RV Campers,3306
Acadia,Oct,Backcountry Campers,141
Acadia,Nov,Misc Overnight Stay,0
Acadia,Nov,Concessioner Lodging,0
Acadia,Nov,Concessioner Camping,0
Acadia,Nov,Tent Campers,0
Acadia,Nov,RV Campers,0
Acadia,Nov,Backcountry Campers,0
Acadia,Dec,Misc Overnight Stay,0
Acadia,Dec,Concessioner Lodging,0
Acadia,Dec,Concessioner Camping,0
Acadia,Dec,Tent Campers,0
Acadia,Dec,RV Campers,0
Acadia,Dec,Backcountry Campers,0
Grand Teton,Jan,Misc Overnight Stay,0
Grand Teton,Jan,Concessioner Lodging,0
Grand Teton,Jan,Concessioner Camping,0
Grand Teton,Jan,Tent Campers,0
Grand Teton,Jan,RV Campers,0
Grand Teton,Jan,Backcountry Campers,117
Grand Teton,Feb,Misc Overnight Stay,0
Grand Teton,Feb,Concessioner Lodging,0
Grand Teton,Feb,Concessioner Camping,0
Grand Teton,Feb,Tent Campers,0
Grand Teton,Feb,RV Campers,0
Grand Teton,Feb,Backcountry Campers,30
Grand Teton,Mar,Misc Overnight Stay,0
Grand Teton,Mar,Concessioner Lodging,0
Grand Teton,Mar,Concessioner Camping,0
Grand Teton,Mar,Tent Campers,0
Grand Teton,Mar,RV Campers,0
Grand Teton,Mar,Backcountry Campers,142
Grand Teton,Apr,Misc Overnight Stay,0
Grand Teton,Apr,Concessioner Lodging,0
Grand Teton,Apr,Concessioner Camping,280
Grand Teton,Apr,Tent Campers,0
Grand Teton,Apr,RV Campers,0
Grand Teton,Apr,Backcountry Campers,139
Grand Teton,May,Misc Overnight Stay,0
Grand Teton,May,Concessioner Lodging,10106
Grand Teton,May,Concessioner Camping,35842
Grand Teton,May,Tent Campers,0
Grand Teton,May,RV Campers,0
Grand Teton,May,Backcountry Campers,1621
Grand Teton,Jun,Misc Overnight Stay,0
Grand Teton,Jun,Concessioner Lodging,44838
Grand Teton,Jun,Concessioner Camping,84554
Grand Teton,Jun,Tent Campers,0
Grand Teton,Jun,RV Campers,0
Grand Teton,Jun,Backcountry Campers,6395
Grand Teton,Jul,Misc Overnight Stay,0
Grand Teton,Jul,Concessioner Lodging,56754
Grand Teton,Jul,Concessioner Camping,90326
Grand Teton,Jul,Tent Campers,0
Grand Teton,Jul,RV Campers,0
Grand Teton,Jul,Backcountry Campers,13507
